EIN,NAME,Address,STREET,CITY,STATE,ZIP
50593036,RIDGEWOOD WETLAND ASSOCIATION INC,"101 W 4TH ST W LAFAYETTE, OH 43845-1305",101 W 4TH ST,W LAFAYETTE,OH,43845-1305
61308676,PETERMAN AND DEMINICO FAMILY FOUNDATION INC,"10 MURWOOD DR MORELAND HLS, OH 44022-1171",10 MURWOOD DR,MORELAND HLS,OH,44022-1171
113739822,MOUNT ZION MISSIONARY BAPTIST CHURCH,"1000 YANKEE RD MIDDLETOWN, OH 45044-5757",1000 YANKEE RD,MIDDLETOWN,OH,45044-5757
113816707,CATHOLIC INTERNET TELEVISION NETWORK,"100 HUFFMAN AVE APT 305 DAYTON, OH 45403-1966",100 HUFFMAN AVE APT 305,DAYTON,OH,45403-1966
113837972,KIWANIS INTERNATIONAL INC,"1003 TERRACE AVE COLDWATER, OH 45828-1432",1003 TERRACE AVE,COLDWATER,OH,45828-1432
131623940,CHRISTIAN & MISSIONARY ALLIANCE,"1 ALLIANCE PL REYNOLDSBURG, OH 43068-3563",1 ALLIANCE PL,REYNOLDSBURG,OH,43068-3563
136877098,LEIGHTON ROSENTHAL FAMILY FOUNDATION,"1001 LAKESIDE AVENUE 1105 CLEVELAND, OH 44114-1158",1001 LAKESIDE AVENUE 1105,CLEVELAND,OH,44114-1158
141854301,GARFIELD BAND BOOSTERS ASSOCIATION,"10233 STATE ROUTE 88 GARRETTSVILLE, OH 44231-9205",10233 STATE ROUTE 88,GARRETTSVILLE,OH,44231-9205
141860253,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,"1025 LECTRIC LN ZANESVILLE, OH 43701-9483",1025 LECTRIC LN,ZANESVILLE,OH,43701-9483
142014555,BIBLE TRUTH BAPTIST CHURCH,"10 PINE ST THE PLAINS, OH 45780-1129",10 PINE ST,THE PLAINS,OH,45780-1129
161639511,PROJECT GRAD AKRON,"10 NORTH MAIN ST STE 503 AKRON, OH 44308-1958",10 NORTH MAIN ST STE 503,AKRON,OH,44308-1958
161753226,PJ MEDURI MINISTRIES,"1005 COTTAGE GATE DR KENT, OH 44240-5408",1005 COTTAGE GATE DR,KENT,OH,44240-5408
200192793,LAFAYETTE JACKSON HISTORICAL SOCIETY,"101 W MAIN ST LAFAYETTE, OH 45854-0000",101 W MAIN ST,LAFAYETTE,OH,45854-0000
200271044,CINCINNATI CENTER FOR AUTISM,"100 COMMERCIAL DR FAIRFIELD, OH 45014-5556",100 COMMERCIAL DR,FAIRFIELD,OH,45014-5556
200545972,AKRON USA INC,"1 CANAL SQUARE PLZ APT 1402 AKRON, OH 44308-1061",1 CANAL SQUARE PLZ APT 1402,AKRON,OH,44308-1061
200603765,GARRISON PLACE INC,"1000 ELM ST FELICITY, OH 45120-9558",1000 ELM ST,FELICITY,OH,45120-9558
200610207,THE MORSE AND BETTY JOHNSON FAMILY FOUNDATION,"1 E 4TH ST STE 700 CINCINNATI, OH 45202-3705",1 E 4TH ST STE 700,CINCINNATI,OH,45202-3705
200855857,CINCINNATI BASEBALL MUSEUM,"100 MAIN STREET CINCINNATI, OH 45202-0000",100 MAIN STREET,CINCINNATI,OH,45202-0000
200996799,WILLOW BROOK CHRISTIAN SERVICES,"100 DELAWARE CROSSING W DELAWARE, OH 43015-7853",100 DELAWARE CROSSING W,DELAWARE,OH,43015-7853
201253104,BEDACHT FOUNDATION,"1000 JACKSON ST TOLEDO, OH 43604-5515",1000 JACKSON ST,TOLEDO,OH,43604-5515
201359442,SHINKLE FOUNDATION,"10140 KINGSPORT DR CINCINNATI, OH 45241-3141",10140 KINGSPORT DR,CINCINNATI,OH,45241-3141
201736709,RICHLAND COUNTY AUXILLARY FAIRHAVEN CAFETERIA,"1018 LEXINGTON AVE MANSFIELD, OH 44907-2248",1018 LEXINGTON AVE,MANSFIELD,OH,44907-2248
201866978,COMMUNITY ACTION OF APPALACHIAN OHIO,"1 PINCHOT PL ATHENS, OH 45701-2135",1 PINCHOT PL,ATHENS,OH,45701-2135
201938332,CAMBRIDGE CHARITABLE FOUNDATION,"1 E 4TH ST STE 700 CINCINNATI, OH 45202-3705",1 E 4TH ST STE 700,CINCINNATI,OH,45202-3705
201999213,LORAIN COUNTY MANUFACTURING COUNCIL,"1005 NORTH ABBE ROAD CC217 ELYRIA, OH 44035-1613",1005 NORTH ABBE ROAD CC217,ELYRIA,OH,44035-1613
202060559,THE OHIO STATE UNIVERSITY,"10075 DAVIS RD HILLSBORO, OH 45133-7848",10075 DAVIS RD,HILLSBORO,OH,45133-7848
202236723,GREATER LOGAN COUNTY AREA COMMUNITY IMPROVEMENT CORPORATION,"100 S MAIN ST BELLEFONTAINE, OH 43311-2007",100 S MAIN ST,BELLEFONTAINE,OH,43311-2007
202272848,HUG FUND,"100 MADISON AVE TOLEDO, OH 43604-1516",100 MADISON AVE,TOLEDO,OH,43604-1516
202596327,HARTVILLE INNOVATIVE HOUSING SOLUTIONS INC,"1002 E BROAD ST LOUISVILLE, OH 44641-1807",1002 E BROAD ST,LOUISVILLE,OH,44641-1807
202610522,MODERN WOODMEN OF AMERICA,"1026 MARSEILLES GALION RD E MARION, OH 43302-9775",1026 MARSEILLES GALION RD E,MARION,OH,43302-9775
202841002,WESTERN RESERVE ROWING ASSOCIATION,"1003 BRITISH ST CLEVELAND, OH 44113-2464",1003 BRITISH ST,CLEVELAND,OH,44113-2464
203311772,UNITED STATES BOWLING CONGRESS INC,"1010 N MAIN ST BOWLING GREEN, OH 43402-1301",1010 N MAIN ST,BOWLING GREEN,OH,43402-1301
203386656,GARDEN CLUB OF OHIO INC,"1003 COLLEGE BLVD ASHLAND, OH 44805-3809",1003 COLLEGE BLVD,ASHLAND,OH,44805-3809
203444934,OPERA WESTERN RESERVE INCOPORATED,"1000 5TH AVENUE YOUNGSTOWN, OH 44504-1673",1000 5TH AVENUE,YOUNGSTOWN,OH,44504-1673
203508440,ARROW YOUTH PARK FOUNDATION,"1 JOY LN CAMDEN, OH 45311-1108",1 JOY LN,CAMDEN,OH,45311-1108
203573106,CANFIELD BOYS BASKETBALL BOOSTERS,"100 CARDINAL DR CANFIELD, OH 44406-1111",100 CARDINAL DR,CANFIELD,OH,44406-1111
203606884,LABRAE FOOTBALL BOOSTERS,"1001 N LEAVITT RD LEAVITTSBURG, OH 44430-9644",1001 N LEAVITT RD,LEAVITTSBURG,OH,44430-9644
203738865,KNIGHTS OF COLUMBUS,"1000 W WENGER RD ENGLEWOOD, OH 45322-2108",1000 W WENGER RD,ENGLEWOOD,OH,45322-2108
203820153,MORSHANA FOUNDATION,"10 HYDE PARK BEACHWOOD, OH 44122-7520",10 HYDE PARK,BEACHWOOD,OH,44122-7520
204405914,GREATER CINCINNATI VOICE OF THE FAITHFUL INC,"10016 SOMERSET DR LOVELAND, OH 45140-1863",10016 SOMERSET DR,LOVELAND,OH,45140-1863
204583684,THE OHIO STATE UNIVERSITY,"10185 STATE ROUTE 219 NEW KNOXVILLE, OH 45871-9613",10185 STATE ROUTE 219,NEW KNOXVILLE,OH,45871-9613
204607204,DAYTON BUSINESS TECHNOLOGY HIGH SCHOOL,"1 S MAIN ST STE 1600 DAYTON, OH 45402-2088",1 S MAIN ST STE 1600,DAYTON,OH,45402-2088
205095911,THE OHIO STATE UNIVERSITY,"1016 STOVER RD W ALEXANDRIA, OH 45381-9394",1016 STOVER RD,W ALEXANDRIA,OH,45381-9394
205111063,SAVE CATS AND OBLITERATE OVERPOPULATION,"10191 LEACREST RD CINCINNATI, OH 45215-1310",10191 LEACREST RD,CINCINNATI,OH,45215-1310
205712451,US MILITARY VETS MOTORCYCLE CLUB,"1008 CENTRAL AVE SANDUSKY, OH 44870-3274",1008 CENTRAL AVE,SANDUSKY,OH,44870-3274
205734463,PIQUA INDIAN ATHLETIC BOOSTERS,"1 INDIAN TRL PIQUA, OH 45356-9257",1 INDIAN TRL,PIQUA,OH,45356-9257
205927824,MAHONING LAND BANK SUPPORT FUND,"100 E FEDERAL ST STE 300 YOUNGSTOWN, OH 44503-1810",100 E FEDERAL ST STE 300,YOUNGSTOWN,OH,44503-1810
208367768,HEALTH OCCUPATIONS STUDENTS OF AMERICA,"10228 HYLAND RUN PLAIN CITY, OH 43064-3627",10228 HYLAND RUN,PLAIN CITY,OH,43064-3627
208595728,SOUTH DAYTON KNIGHTS,"1005 YORKSHIRE PL DAYTON, OH 45419-3730",1005 YORKSHIRE PL,DAYTON,OH,45419-3730
208734161,PROMEDICA CHILDRENS SPECIALISTS,"100 MADISON AVE TOLEDO, OH 43604-1516",100 MADISON AVE,TOLEDO,OH,43604-1516
208925180,COMMUNICARE HEALTH BENEFITS TRUST,"10123 ALLIANCE RD BLUE ASH, OH 45242-4887",10123 ALLIANCE RD,BLUE ASH,OH,45242-4887
208934153,OHIO STATE UNIVERSITY,"1010 CENTER BEND RD BEVERLY, OH 45715-9549",1010 CENTER BEND RD,BEVERLY,OH,45715-9549
222762750,ASSOCIATION FOR COMPUTING MACHINERY,"1000 N MAIN ST FINDLAY, OH 45840-3653",1000 N MAIN ST,FINDLAY,OH,45840-3653
232534913,MUTUAL AID SHARING PLAN,"10055 ROSEDALE MILFORD CENTER RD IRWIN, OH 43029-9509",10055 ROSEDALE MILFORD CENTER RD,IRWIN,OH,43029-9509
237011976,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,"1 RAILROAD ST JEFFERSONVLLE, OH 43128-1025",1 RAILROAD ST,JEFFERSONVLLE,OH,43128-1025
237035246,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,"1011 W 8TH ST CINCINNATI, OH 45203-1205",1011 W 8TH ST,CINCINNATI,OH,45203-1205
237050040,HOPE CHEST INC THE,"1 VICTORIA PLACE SUITE 321 PAINESVILLE, OH 44077-3466",1 VICTORIA PLACE SUITE 321,PAINESVILLE,OH,44077-3466
237062854,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,"1016 GRANDVIEW AVE GRANDVIEW, OH 43212-3432",1016 GRANDVIEW AVE,GRANDVIEW,OH,43212-3432
237069109,PERRY CLASSROOM TEACHERS ASSOCIATION,"1 SUCCESS BLVD PERRY, OH 44081-9404",1 SUCCESS BLVD,PERRY,OH,44081-9404
237085581,GRACE BRETHREN VILLAGE INC,"1010 TAYWOOD RD ENGLEWOOD, OH 45322-2400",1010 TAYWOOD RD,ENGLEWOOD,OH,45322-2400
237091755,NEW LONDON EDUCATION ASSOCIATION,"1 WILDCAT DR NEW LONDON, OH 44851-9262",1 WILDCAT DR,NEW LONDON,OH,44851-9262
237103999,KNIGHTS OF COLUMBUS,"102 GAYWOOD DR ST CLAIRSVLE, OH 43950-1006",102 GAYWOOD DR,ST CLAIRSVLE,OH,43950-1006
237114013,AKRON CHILDRENS HOSPITAL FOUNDATION,"1 PERKINS SQ AKRON, OH 44308-1063",1 PERKINS SQ,AKRON,OH,44308-1063
237122420,BLUFFTON EDUCATION ASSOCIATION,"102 S JACKSON ST BLUFFTON, OH 45817-1218",102 S JACKSON ST,BLUFFTON,OH,45817-1218
237129919,MAPLE HEIGHTS TEACHERS ASSOCIATION,"1 MUSTANG WAY MAPLE HEIGHTS, OH 44137-2671",1 MUSTANG WAY,MAPLE HEIGHTS,OH,44137-2671
237132368,PIKE COMMUNITY HOSP GUILD ASSOC,"100 DAWN LANE WAVERLY, OH 45690-9138",100 DAWN LANE,WAVERLY,OH,45690-9138
237140834,COLUMBIAN ASSOCIATION OF NILES OHIO,"1024 VIENNA AVE NILES, OH 44446-2706",1024 VIENNA AVE,NILES,OH,44446-2706
237145594,KNIGHTS TEMPLAR OF THE UNITED STATES OF AMERICA,"1 W ARLINGTON DR TRENTON, OH 45067-8630",1 W ARLINGTON DR,TRENTON,OH,45067-8630
237148000,UNITED WAY OF CLINTON COUNTY INC,"100 W MAIN ST WILMINGTON, OH 45177-2480",100 W MAIN ST,WILMINGTON,OH,45177-2480
237159465,ROYAL ARCH MASONS OF OHIO,"1016 WOODLAND CHASE GRAFTON, OH 44044-1261",1016 WOODLAND CHASE,GRAFTON,OH,44044-1261
237161957,DELTA KAPPA GAMMA SOCIETY,"06573 SOUTHLAND RD NEW KNOXVILLE, OH 45871-9705",06573 SOUTHLAND RD,NEW KNOXVILLE,OH,45871-9705
237167582,CATHOLIC DAUGHTERS OF THE AMERICAS,"1008 WILLIAM AVE DELPHOS, OH 45833-9261",1008 WILLIAM AVE,DELPHOS,OH,45833-9261
237176494,FRATERNAL ORDER OF POLICE,"100 EXECUTIVE DR MARION, OH 43302-6306",100 EXECUTIVE DR,MARION,OH,43302-6306
237187503,GRAFTON VOLUNTEER FIRE DEPARTMENT,"1013 CHESTNUT ST GRAFTON, OH 44044-1406",1013 CHESTNUT ST,GRAFTON,OH,44044-1406
237193353,FREE & ACCEPTED MASONS OF OHIO,"100 SOUTH MAIN STREET WELLINGTON, OH 44090-1369",100 SOUTH MAIN STREET,WELLINGTON,OH,44090-1369
237252905,PTA OHIO CONGRESS,"1 EDUCATIONAL PARK DR SEVEN HILLS, OH 44131-4439",1 EDUCATIONAL PARK DR,SEVEN HILLS,OH,44131-4439
237253847,DOMINION MIDDLE SCHOOL PARENT TEACHER STUDENT ORGANIZATION,"100 E ARCADIA AVE COLUMBUS, OH 43202-2641",100 E ARCADIA AVE,COLUMBUS,OH,43202-2641
237253947,PTA OHIO CONGRESS,"1001 DEMOREST RD COLUMBUS, OH 43204-1043",1001 DEMOREST RD,COLUMBUS,OH,43204-1043
237260829,FREE & ACCEPTED MASONS OF OHIO,"101 WORSHIRE RD BELLVILLE, OH 44813-1037",101 WORSHIRE RD,BELLVILLE,OH,44813-1037
237266687,FIELD & STREAM BOWHUNTERS OF FINDLAY OHIO,"1023 CYPRESS AVE FINDLAY, OH 45840-4726",1023 CYPRESS AVE,FINDLAY,OH,45840-4726
237267212,PTA OHIO CONGRESS,"1 LEARNING LN PERRY, OH 44081-9422",1 LEARNING LN,PERRY,OH,44081-9422
237269568,FREE & ACCEPTED MASONS OF OHIO,"10200 MEMPHIS AVE BROOKLYN, OH 44144-2037",10200 MEMPHIS AVE,BROOKLYN,OH,44144-2037
237282583,THETA CHI FRATERNITY INC,"1000 N MAIN STREET BOX 1551 FINDLAY, OH 45840-3653",1000 N MAIN STREET BOX 1551,FINDLAY,OH,45840-3653
237301468,PENGUIN CLUB,"1 UNIVERSITY PLZ YOUNGSTOWN, OH 44555-0001",1 UNIVERSITY PLZ,YOUNGSTOWN,OH,44555-0001
237310998,EDGEWATER HOMEOWNERS ASSOCIATION,"10210 EDGEWATER DR CLEVELAND, OH 44102-6122",10210 EDGEWATER DR,CLEVELAND,OH,44102-6122
237321694,COMMUNITY IMPROVEMENT CORPORATION OF WILMINGTON,"101 N SOUTH ST WILMINGTON, OH 45177-1646",101 N SOUTH ST,WILMINGTON,OH,45177-1646
237323562,LICKING COUNTY GENEALOGICAL SOCIETY A CHAPTER OF THE OHIO GENEALOGICAL,"101 W MAIN ST NEWARK, OH 43055-5062",101 W MAIN ST,NEWARK,OH,43055-5062
237335934,ADA SENIOR CITIZENS SERVICES INC,"1023 BEECH ST ADA, OH 45810-1690",1023 BEECH ST,ADA,OH,45810-1690
237337881,AGUDATH ACHIM OF CINCINNATI,"1 E 4TH ST STE 700 CINCINNATI, OH 45202-3705",1 E 4TH ST STE 700,CINCINNATI,OH,45202-3705
237346617,BROOKVILLE BAND ASSOCIATION,"1 BLUE PRIDE DR BROOKVILLE, OH 45309-1451",1 BLUE PRIDE DR,BROOKVILLE,OH,45309-1451
237361098,AMERICAN BRITANY CLUB INC,"10051 AMITY PIKE PLAIN CITY, OH 43064-9109",10051 AMITY PIKE,PLAIN CITY,OH,43064-9109
237370327,NALS INC,"1007 BALTZLEY VALLEY RD SE NEW PHILA, OH 44663-7706",1007 BALTZLEY VALLEY RD SE,NEW PHILA,OH,44663-7706
237376646,TAU BETA PI ASSOCIATION INC,"1 TRESSEL WAY YOUNGSTOWN, OH 44555-9703",1 TRESSEL WAY,YOUNGSTOWN,OH,44555-9703
237384013,NATIONAL TREASURY EMPLOYEES UNION,"10 E COMMERCE ST RM 110 YOUNGSTOWN, OH 44503-1679",10 E COMMERCE ST RM 110,YOUNGSTOWN,OH,44503-1679
237403734,CORTVIEW VILLAGE,"100 CORTVIEW DR CORTLAND, OH 44410-1403",100 CORTVIEW DR,CORTLAND,OH,44410-1403
237404778,TRUE HOPE BIBLE CHURCH,"10172 CHILLICOTHE RD KIRTLAND, OH 44094-9731",10172 CHILLICOTHE RD,KIRTLAND,OH,44094-9731
237418083,AMERICAN ELECTRIC POWER SYSTEM EDUCATIONAL TRUST FUND,"1 RIVERSIDE PLAZA ATTN TAX DEPT COLUMBUS, OH 43215-2355",1 RIVERSIDE PLAZA ATTN TAX DEPT,COLUMBUS,OH,43215-2355
237418153,AURORA EDUCATION ASSOCIATION,"102 E GARFIELD RD AURORA, OH 44202-8854",102 E GARFIELD RD,AURORA,OH,44202-8854
237419897,KETTERING MEDICAL CENTER FOUNDATION,"1 PRESTIGE PLACE 910 MIAMISBURG, OH 45342-3794",1 PRESTIGE PLACE 910,MIAMISBURG,OH,45342-3794
237420666,WEATHERVANE PLAYHOUSE,"100 PRICE RD NEWARK, OH 43055-3380",100 PRICE RD,NEWARK,OH,43055-3380
237423348,LOVELAND EDUCATION ASSOCIATION,"1 TIGER TRL LOVELAND, OH 45140-1975",1 TIGER TRL,LOVELAND,OH,45140-1975
237424268,BETHLEHEM WILLIAMS,"04016 CR M50 EDON, OH 43518-0000",04016 CR M50,EDON,OH,43518-0000
237425233,OHIO ASSOCIATION OF JUVENILE COURT JUDGES,"100 E COURT ST SIDNEY, OH 45365-3022",100 E COURT ST,SIDNEY,OH,45365-3022
237437765,SPRINGFIELD REGIONAL MEDICAL CENTER AUXILIARY,"100 MEDICAL CENTER DR SPRINGFIELD, OH 45504-2687",100 MEDICAL CENTER DR,SPRINGFIELD,OH,45504-2687
237442681,DAYTON DREXEL CHURCH OF THE NAZARENE,"101 DREXEL AVE DAYTON, OH 45417-0000",101 DREXEL AVE,DAYTON,OH,45417-0000
237503440,ORDER OF THE EASTERN STAR OF OHIO,"1 MARY LN W ALEXANDRIA, OH 45381-9388",1 MARY LN,W ALEXANDRIA,OH,45381-9388
237504035,FREE & ACCEPTED MASONS OF OHIO,"100 AMBER DR WEST UNION, OH 45693-9638",100 AMBER DR,WEST UNION,OH,45693-9638
237504299,FREE & ACCEPTED MASONS OF OHIO,"1009 KENMORE BLVD AKRON, OH 44314-2153",1009 KENMORE BLVD,AKRON,OH,44314-2153
237537516,AMERICAN MUTUAL LIFE ASSOCIATION,"101 PINE HOLLOW CIR CHARDON, OH 44024-1490",101 PINE HOLLOW CIR,CHARDON,OH,44024-1490
237544470,KNIGHTS OF COLUMBUS,"1013 KENILWORTH AVE CLEVELAND, OH 44113-4422",1013 KENILWORTH AVE,CLEVELAND,OH,44113-4422
237563412,KNIGHTS OF PYTHIAS,"101 NORTH MAIN STREET BLOOMDALE, OH 44817-0000",101 NORTH MAIN STREET,BLOOMDALE,OH,44817-0000
237586078,FRATERNAL ORDER OF POLICE,"1013 ARLINGTON ST FREMONT, OH 43420-1601",1013 ARLINGTON ST,FREMONT,OH,43420-1601
237586093,GIRARD LODGE 52 OF THE FRATERNAL ORDER OF POLICE OF THE ST OF OHIO,"100 N MARKET ST STE B GIRARD, OH 44420-2557",100 N MARKET ST STE B,GIRARD,OH,44420-2557
237592816,FRATERNAL ORDER OF EAGLES,"101 W WALNUT ST COLDWATER, OH 45828-1770",101 W WALNUT ST,COLDWATER,OH,45828-1770
250848450,CENTURY NATIONAL BANK & TRUST CO,"10 E MAIN ST SALINEVILLE, OH 43945-1134",10 E MAIN ST,SALINEVILLE,OH,43945-1134
256065880,INTERNATIONAL BROTHERHOOD IRON SHIP BLDRS BOILERMAKERS BLACKSMITH FORG,"1002 SOUTHWOOD DR ASHTABULA, OH 44004-2366",1002 SOUTHWOOD DR,ASHTABULA,OH,44004-2366
260039809,AMVETS,"1 W MAIN ST HAYESVILLE, OH 44838-6510",1 W MAIN ST,HAYESVILLE,OH,44838-6510
260213431,FRIENDS OF CAMP PERRY,"1000 LAWERANCE ROAD PORT CLINTON, OH 43452-0000",1000 LAWERANCE ROAD,PORT CLINTON,OH,43452-0000
260227278,CANFIELD SCHOOLS CROSS COUNTRYBOOSTER CLUB,"100 CARDINAL DR CANFIELD, OH 44406-1111",100 CARDINAL DR,CANFIELD,OH,44406-1111
260324790,PROMEDICA COURIER SERVICES INC,"100 MADISON AVE TOLEDO, OH 43604-1516",100 MADISON AVE,TOLEDO,OH,43604-1516
260460914,CONGER PTO,"10 CHANNING ST DELAWARE, OH 43015-2077",10 CHANNING ST,DELAWARE,OH,43015-2077
260570016,SUPERIOR TREASURES,"10100 RIDGEWOOD DR TWINSBURG, OH 44087-1121",10100 RIDGEWOOD DR,TWINSBURG,OH,44087-1121
260606361,C4C MINISTRIES,"100 46TH ST SANDUSKY, OH 44870-4896",100 46TH ST,SANDUSKY,OH,44870-4896
261185364,VINE AND BRANCHES INDIA MINISTRIES,"1023 CONCORD DR MEDINA, OH 44256-3006",1023 CONCORD DR,MEDINA,OH,44256-3006
261352360,THE OHIO STATE UNIVERSITY,"10236 BENNER RD RITTMAN, OH 44270-9712",10236 BENNER RD,RITTMAN,OH,44270-9712
261377042,TOUCH HEAVEN MINISTRIES INC,"10 SKYLINE DR CANFIELD, OH 44406-1233",10 SKYLINE DR,CANFIELD,OH,44406-1233
261387549,OHIO STATE UNIVERSITY,"100 STATE ROUTE 309 ADA, OH 45810-9428",100 STATE ROUTE 309,ADA,OH,45810-9428
261421067,THE OHIO STATE UNIVERSITY,"06879 EVANSPORT ROAD DEFIANCE, OH 43512-6766",06879 EVANSPORT ROAD,DEFIANCE,OH,43512-6766
261445530,THE OHIO STATE UNIVERSITY,"1015 OVERLOOK AVE RAVENNA, OH 44266-2633",1015 OVERLOOK AVE,RAVENNA,OH,44266-2633
261559254,GREAT PARKS FOREVER,"10245 WINTON RD CINCINNATI, OH 45231-2626",10245 WINTON RD,CINCINNATI,OH,45231-2626
261590372,CISE FOUNDATION,"100 E EIGHTH STREET CINCINNATI, OH 45202-2129",100 E EIGHTH STREET,CINCINNATI,OH,45202-2129
261628617,THE OHIO STATE UNIVERSITY,"10252 HOEL RD ADDRESS LINE 2 CAMDEN, OH 45311-8658",10252 HOEL RD ADDRESS LINE 2,CAMDEN,OH,45311-8658
261672457,ANTIOCH COLLEGE CORPORATION,"1 MORGAN PL YELLOW SPGS, OH 45387-1683",1 MORGAN PL,YELLOW SPGS,OH,45387-1683
261788853,PLAY IT FORWARD INC,"1 GREENHOUSE LN CINCINNATI, OH 45209-2316",1 GREENHOUSE LN,CINCINNATI,OH,45209-2316
261819333,BETA THETA PI FRATERNITY,"1 JOHN CARROLL BLVD UNIVERSITY HT, OH 44118-4538",1 JOHN CARROLL BLVD,UNIVERSITY HT,OH,44118-4538
262020567,THE OHIO STATE UNIVERSITY,"10080 STATE ROUTE 18 HAMLER, OH 43524-9642",10080 STATE ROUTE 18,HAMLER,OH,43524-9642
262026042,SOUTHWEST LICKING SCHOOLS EDUCATIONAL FOUNDATION,"10039 HOLLOW RD SW PATASKALA, OH 43062-8543",10039 HOLLOW RD SW,PATASKALA,OH,43062-8543
262089996,BUCKEYE GERMAN SHORTHAIRED POINTER,"1 SHEFFIELD LN LIMA, OH 45805-3820",1 SHEFFIELD LN,LIMA,OH,45805-3820
262515660,THE OHIO STATE UNIVERSITY,"10115 CHERRY LN NW BALTIMORE, OH 43105-9654",10115 CHERRY LN NW,BALTIMORE,OH,43105-9654
262521352,OHIO ENERGY AND ADVANCED MANUFACTURING CENTER INC,"101 WESTFIELD DR LIMA, OH 45805-3875",101 WESTFIELD DR,LIMA,OH,45805-3875
262581139,FRIENDS OF THE BLACKFORK,"10 HIGH SCHOOL AVE SHELBY, OH 44875-1584",10 HIGH SCHOOL AVE,SHELBY,OH,44875-1584
262636549,LIFEWAY CHURCH,"1010 W STATE ST TRENTON, OH 45067-1586",1010 W STATE ST,TRENTON,OH,45067-1586
262697779,MONROEVILLE ELEMENTARY PTO,"101 WEST ST MONROEVILLE, OH 44847-9797",101 WEST ST,MONROEVILLE,OH,44847-9797
263051020,MID-AMERICA KARATE-INC,"1020 NOTTINGHAM DR CINCINNATI, OH 45255-4769",1020 NOTTINGHAM DR,CINCINNATI,OH,45255-4769
263255359,JUNIOR LADY KNIGHTS INC,"10144 MORGAN GREY CT CENTERVILLE, OH 45458-1101",10144 MORGAN GREY CT,CENTERVILLE,OH,45458-1101
263412079,TECHGROWTH OHIO FUND,"1 OHIO UNIVERSITY ATHENS, OH 45701-2942",1 OHIO UNIVERSITY,ATHENS,OH,45701-2942
263447917,HERITAGE YOUTH-FOR-ALL-NATIONS FOUNDATION,"1002 EASTGATE DR CINCINNATI, OH 45231-5813",1002 EASTGATE DR,CINCINNATI,OH,45231-5813
263527658,OPBA CHARITABLE FOUNDATION,"10147 ROYALTON RD STE J N ROYALTON, OH 44133-4466",10147 ROYALTON RD STE J,N ROYALTON,OH,44133-4466
